Y = [-750.8341855   404.90182185  402.43893847]
Y = [ 2505.2190971  -1094.26480627  -360.28250455]
Y = [ 494.40303589 -479.61209831  142.93294201]
Y = [ 411.40838411   32.72922683  -34.08556215]
Y = [ 366.76381152 -192.16757568   12.16615482]
Y = [ 58.09294115 -14.8576051   18.83515558]
Y = [ 143.17161705  -50.28701316  -11.52403001]
Y = [ 55.89199663 -37.71633259   5.75503572]
Y = [ 44.28165929 -15.61596731  -2.51353587]
Y = [ 42.00848994 -23.78794046  -1.43041801]
Y = [ 26.12860644 -15.446636    -0.70648108]
Y = [ 28.04568472 -15.89760003  -2.06195384]
Y = [ 23.98377791 -15.40029351  -1.39357177]
Y = [ 22.87279672 -14.26154168  -1.72159947]
Y = [ 22.63449159 -14.52221819  -1.7157205 ]
Y = [ 21.81536367 -14.14283797  -1.67681747]
Y = [ 21.8012619  -14.11238655  -1.73876452]
Y = [ 21.59972105 -14.08496155  -1.71386296]
Y = [ 21.51749905 -14.02480402  -1.7266978 ]
Y = [ 21.49543046 -14.02989511  -1.72822982]
Y = [ 21.45196867 -14.01188515  -1.72644581]
Y = [ 21.4455329  -14.00793293  -1.72928666]
Y = [ 21.43478846 -14.00610417  -1.7284317 ]
Y = [ 21.42927777 -14.00287675  -1.72894658]
Y = [ 21.42748149 -14.00270606  -1.7290951 ]
Y = [ 21.42509585 -14.00179771  -1.72902412]
Y = [ 21.4244628  -14.00147987  -1.72915565]
Y = [ 21.42385158 -14.00134962  -1.72913089]
Y = [ 21.42349756 -14.00117253  -1.72915275]
Y = [ 21.42336298 -14.00114084  -1.72916316]
Y = [ 21.42322741 -14.00109199  -1.72916094]
Y = [ 21.42317824 -14.00106974  -1.72916716]
Y = [ 21.42314171 -14.00106045  -1.72916676]
Y = [ 21.42311936 -14.00105047  -1.72916778]
Y = [ 21.4231098  -14.00104759  -1.72916843]
Y = [ 21.42310185 -14.00104481  -1.72916841]
Y = [ 21.42309837 -14.00104334  -1.72916871]
Y = [ 21.42309612 -14.00104269  -1.72916873]
Y = [ 21.42309471 -14.00104211  -1.72916878]
Y = [ 21.42309406 -14.00104189  -1.72916882]
Y = [ 21.42309358 -14.00104172  -1.72916883]
Y = [ 21.42309334 -14.00104163  -1.72916884]
Y = [ 21.4230932  -14.00104158  -1.72916884]
Y = [ 21.42309311 -14.00104155  -1.72916885]
Y = [ 21.42309307 -14.00104153  -1.72916885]
Y = [ 21.42309304 -14.00104152  -1.72916885]
Y = [ 21.42309303 -14.00104152  -1.72916885]
Y = [ 21.42309302 -14.00104152  -1.72916885]
Y = [ 21.42309301 -14.00104151  -1.72916885]
Y = [ 21.42309301 -14.00104151  -1.72916885]
Y = [ 21.42309301 -14.00104151  -1.72916885]
Y = [ 21.42309301 -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
Y = [ 21.423093   -14.00104151  -1.72916885]
